Wind Farm 1	 AEP = 529.7095916748046
50,3950
800,1650
3450,2650
50,3000
3900,2550
2550,600
3200,50
1600,1400
400,1850
2200,50
50,2050
1350,3050
800,450
1700,400
2100,1400
2400,2150
100,450
800,2600
3950,2950
2800,3850
3950,850
50,2500
50,3500
3950,50
450,50
450,3950
3950,3400
1450,2150
900,50
50,50
3950,1550
950,3950
3400,750
3900,450
3000,1200
2000,2650
2800,250
1900,3950
2350,3250
2000,3450
3250,3100
3900,3950
1400,50
1400,3950
3900,2050
2350,3850
3300,3950
2950,2050
50,850
50,1500
Wind Farm 2	 AEP = 529.7095916748046
1900,3950
800,450
2400,2150
50,850
2200,50
900,50
450,3950
2950,2050
3900,2050
1400,3950
400,1850
100,450
50,3000
3950,2950
2000,3450
450,50
3250,3100
800,1650
2800,3850
1600,1400
1350,3050
3900,2550
3300,3950
3950,50
2350,3250
50,3950
3450,2650
2550,600
3200,50
50,2050
1700,400
2100,1400
800,2600
3950,850
50,2500
50,3500
3950,3400
1450,2150
50,50
3950,1550
950,3950
3400,750
3900,450
3000,1200
2000,2650
2800,250
3900,3950
1400,50
2350,3850
50,1500
Wind Farm 3	 AEP = 529.7095916748046
2800,250
950,3950
800,450
3900,2550
3400,750
3900,2050
2200,50
2000,3450
3900,450
3200,50
2950,2050
2350,3850
50,2050
1900,3950
3450,2650
2100,1400
400,1850
2350,3250
50,2500
50,850
50,3500
3000,1200
2550,600
50,50
100,450
50,3950
800,1650
50,3000
1600,1400
1350,3050
1700,400
2400,2150
800,2600
3950,2950
2800,3850
3950,850
3950,50
450,50
450,3950
3950,3400
1450,2150
900,50
3950,1550
2000,2650
3250,3100
3900,3950
1400,50
1400,3950
3300,3950
50,1500
Wind Farm 4	 AEP = 529.7095916748046
450,3950
1450,2150
3450,2650
3900,2050
800,1650
50,1500
2800,3850
3950,850
1350,3050
450,50
2000,2650
3900,3950
3950,2950
2800,250
1400,50
3250,3100
2550,600
2400,2150
800,450
3900,2550
3950,50
1600,1400
50,50
400,1850
2200,50
3400,750
50,2500
50,3950
100,450
3950,1550
3000,1200
50,3000
900,50
950,3950
50,2050
3900,450
2950,2050
2000,3450
1400,3950
1900,3950
3950,3400
50,3500
2350,3250
2100,1400
1700,400
3200,50
800,2600
2350,3850
3300,3950
50,850
Wind Farm 5	 AEP = 529.7095916748046
2000,3450
800,1650
2000,2650
1450,2150
1600,1400
800,450
1400,3950
2950,2050
3250,3100
2350,3250
50,3500
3950,3400
400,1850
50,3950
50,2500
2550,600
2800,3850
3450,2650
2800,250
1900,3950
50,2050
3900,2550
50,3000
50,850
3400,750
3900,450
3900,3950
2400,2150
1350,3050
3000,1200
3950,50
100,450
950,3950
50,50
450,3950
2200,50
2100,1400
3950,2950
1700,400
900,50
3950,1550
1400,50
3200,50
3900,2050
450,50
800,2600
2350,3850
3950,850
3300,3950
50,1500
Wind Farm 6	 AEP = 529.7095916748046
3950,2950
3900,450
1700,400
1600,1400
50,850
400,1850
1400,50
3950,850
3000,1200
450,3950
1350,3050
50,3950
50,2500
3950,1550
3900,2550
3400,750
3950,50
1450,2150
100,450
800,2600
3900,2050
800,1650
50,3000
2400,2150
2800,250
1400,3950
900,50
2000,3450
3900,3950
2200,50
3200,50
450,50
2950,2050
3250,3100
3450,2650
800,450
3950,3400
2800,3850
50,50
950,3950
2000,2650
2100,1400
1900,3950
50,3500
2350,3250
50,2050
2550,600
2350,3850
